"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"3071",53,"female","2021-03-04_15h34.37.174",4.463,3.253,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-04_15h34.37.174","adult"
"3081",53,"female","2021-03-04_15h34.37.174",4.275,3.463,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-04_15h34.37.174","adult"
"3091",53,"female","2021-03-04_15h34.37.174",4.896,4.344,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-04_15h34.37.174","adult"
"3101",53,"female","2021-03-04_15h34.37.174",4.005,3.63,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-04_15h34.37.174","adult"
"313",52,"diverse","2021-03-04_21h39.56.542",8.686,11.379,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"314",52,"diverse","2021-03-04_21h39.56.542",4.705,3.84,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"315",52,"diverse","2021-03-04_21h39.56.542",3.278,4.434,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"3161",52,"diverse","2021-03-04_21h39.56.542",4.036,6.931,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","pseudo-word demonstrative",4,1,0,0,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"3171",52,"diverse","2021-03-04_21h39.56.542",4.142,3.554,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"3181",52,"diverse","2021-03-04_21h39.56.542",25.412,10.447,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","pseudo-word demonstrative",6,1,0,0,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"3191",52,"diverse","2021-03-04_21h39.56.542",4.436,3.887,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"3201",52,"diverse","2021-03-04_21h39.56.542",3.945,6.205,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-04_21h39.56.542","adult"
"3231",47,"female","2021-03-05_08h44.07.006",13.468,7.005,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"324",47,"female","2021-03-05_08h44.07.006",8.106,6.454,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",2,0,0,0,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"325",47,"female","2021-03-05_08h44.07.006",4.708,4.142,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"326",47,"female","2021-03-05_08h44.07.006",5.092,5.308,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"327",47,"female","2021-03-05_08h44.07.006",5.043,4.176,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"3281",47,"female","2021-03-05_08h44.07.006",5.326,4.926,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"3291",47,"female","2021-03-05_08h44.07.006",4.56,3.878,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"3301",47,"female","2021-03-05_08h44.07.006",4.51,4.992,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-05_08h44.07.006","adult"
"3331",47,"female","2021-03-05_11h13.44.922",7.592055,6.18019,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"3341",47,"female","2021-03-05_11h13.44.922",6.427185,8.540055,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"3351",47,"female","2021-03-05_11h13.44.922",8.341565,7.542995,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"336",47,"female","2021-03-05_11h13.44.922",7.276675,6.66164,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"337",47,"female","2021-03-05_11h13.44.922",8.990745,7.64232,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"338",47,"female","2021-03-05_11h13.44.922",7.45827,6.545015,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"339",47,"female","2021-03-05_11h13.44.922",7.110135,7.99087,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"3401",47,"female","2021-03-05_11h13.44.922",8.289045,6.86115,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-05_11h13.44.922","adult"
"3431",56,"diverse","2021-03-06_11h29.20.566",10.97766,7.729595,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","left","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"3441",56,"diverse","2021-03-06_11h29.20.566",7.287085,6.17896,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"3451",56,"diverse","2021-03-06_11h29.20.566",6.64559,3.596965,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",3,0,0,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"3461",56,"diverse","2021-03-06_11h29.20.566",6.862085,5.996215,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","pseudo-word demonstrative",4,0,1,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"3471",56,"diverse","2021-03-06_11h29.20.566",5.279335,4.279725,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","right","pseudo-word demonstrative",5,1,0,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"348",56,"diverse","2021-03-06_11h29.20.566",4.36182,3.396745,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","left","pseudo-word demonstrative",6,0,1,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"349",56,"diverse","2021-03-06_11h29.20.566",4.22966,3.47972,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","left","pseudo-word demonstrative",7,1,0,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"350",56,"diverse","2021-03-06_11h29.20.566",5.879145,4.16377,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","pseudo-word demonstrative",8,0,1,0,"pseudo-word demonstrative_2021-03-06_11h29.20.566","adult"
"3531",34,"male","2021-03-08_08h27.18.125",12.744845,6.418545,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","pseudo-word demonstrative",1,1,0,0,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"3541",34,"male","2021-03-08_08h27.18.125",5.37885,4.380585,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"3551",34,"male","2021-03-08_08h27.18.125",5.775605,4.481635,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"3561",34,"male","2021-03-08_08h27.18.125",4.96465,5.83275,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"3571",34,"male","2021-03-08_08h27.18.125",4.38244,3.73056,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"3581",34,"male","2021-03-08_08h27.18.125",4.43132,3.78653,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"3591",34,"male","2021-03-08_08h27.18.125",7.356735,4.82879,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"360",34,"male","2021-03-08_08h27.18.125",6.62009,4.725265,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-08_08h27.18.125","adult"
"363",19,"female","2021-03-09_00h51.31.765",4.79078,8.07305,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3641",19,"female","2021-03-09_00h51.31.765",4.29275,3.459825,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3651",19,"female","2021-03-09_00h51.31.765",5.009075,3.910225,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3661",19,"female","2021-03-09_00h51.31.765",6.85738,3.411015,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3671",19,"female","2021-03-09_00h51.31.765",4.36907,3.878125,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3681",19,"female","2021-03-09_00h51.31.765",6.04412,4.06067,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3691",19,"female","2021-03-09_00h51.31.765",4.27615,4.395195,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"3701",19,"female","2021-03-09_00h51.31.765",4.078315,3.44437,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-09_00h51.31.765","adult"
"373",38,"female","2021-03-09_10h50.37.678",4.981,3.614,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"374",38,"female","2021-03-09_10h50.37.678",5.431,4.08,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","right","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"375",38,"female","2021-03-09_10h50.37.678",4.03,4.414,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"3761",38,"female","2021-03-09_10h50.37.678",5.099,4.897,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"3771",38,"female","2021-03-09_10h50.37.678",4.281,4.28,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"3781",38,"female","2021-03-09_10h50.37.678",5.434,3.53,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"3791",38,"female","2021-03-09_10h50.37.678",4.597,5.25,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"3801",38,"female","2021-03-09_10h50.37.678",3.38,4.714,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-09_10h50.37.678","adult"
"3831",20,"female","2021-03-09_11h07.56.557",4.83693,4.645615,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"384",20,"female","2021-03-09_11h07.56.557",5.31029,5.046945,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"385",20,"female","2021-03-09_11h07.56.557",4.63089,6.39578,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"386",20,"female","2021-03-09_11h07.56.557",3.948965,3.664135,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"387",20,"female","2021-03-09_11h07.56.557",4.32915,4.164015,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"3881",20,"female","2021-03-09_11h07.56.557",4.375665,4.86465,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"3891",20,"female","2021-03-09_11h07.56.557",3.946705,3.84664,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"3901",20,"female","2021-03-09_11h07.56.557",4.39733,3.86443,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","left","pseudo-word demonstrative",8,1,0,0,"pseudo-word demonstrative_2021-03-09_11h07.56.557","adult"
"3931",23,"female","2021-03-09_12h07.10.918",8.394,10.246,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"3941",23,"female","2021-03-09_12h07.10.918",12.409,9.046,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","right","pseudo-word demonstrative",2,0,1,0,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"3951",23,"female","2021-03-09_12h07.10.918",3.778,4.913,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"396",23,"female","2021-03-09_12h07.10.918",3.946,4.611,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"397",23,"female","2021-03-09_12h07.10.918",6.696,5.844,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"398",23,"female","2021-03-09_12h07.10.918",6.41,4.011,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"399",23,"female","2021-03-09_12h07.10.918",8.512,3.329,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"4001",23,"female","2021-03-09_12h07.10.918",7.796,6.744,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-09_12h07.10.918","adult"
"4031",23,"female","2021-03-09_14h05.34.520",25.294265,7.19059,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"4041",23,"female","2021-03-09_14h05.34.520",5.11395,5.408935,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"4051",23,"female","2021-03-09_14h05.34.520",5.290135,9.42487,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"4061",23,"female","2021-03-09_14h05.34.520",4.353855,3.59006,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",4,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"4071",23,"female","2021-03-09_14h05.34.520",3.36032,4.750045,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"408",23,"female","2021-03-09_14h05.34.520",5.06685,4.60481,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"409",23,"female","2021-03-09_14h05.34.520",4.43886,5.470915,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",7,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"410",23,"female","2021-03-09_14h05.34.520",6.39334,7.58221,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",8,1,1,1,"pseudo-word demonstrative_2021-03-09_14h05.34.520","adult"
"4131",24,"female","2021-03-09_22h54.18.742",7.57889,5.931375,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",1,1,1,1,"pseudo-word demonstrative_2021-03-09_22h54.18.742","adult"
"4141",24,"female","2021-03-09_22h54.18.742",8.803765,3.931955,"media/Indexical/RechtsSchmuSchmi/Standbild1.png","media/Indexical/RechtsSchmuSchmi/Standbild2.png","adultonline","right","left","left","left","pseudo-word demonstrative",2,1,1,1,"pseudo-word demonstrative_2021-03-09_22h54.18.742","adult"
"4151",24,"female","2021-03-09_22h54.18.742",14.269845,3.915905,"media/Indexical/LinksSchmuSchmi/Standbild1.png","media/Indexical/LinksSchmuSchmi/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",3,1,1,1,"pseudo-word demonstrative_2021-03-09_22h54.18.742","adult"
"4161",24,"female","2021-03-09_22h54.18.742",3.75988,4.263405,"media/Indexical/RechtsSchmiSchmu/Standbild1.png","media/Indexical/RechtsSchmiSchmu/Standbild2.png","adultonline","right","left","right","right","pseudo-word demonstrative",4,0,0,0,"pseudo-word demonstrative_2021-03-09_22h54.18.742","adult"
"4171",24,"female","2021-03-09_22h54.18.742",4.7428,4.2155,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","right","right","pseudo-word demonstrative",5,1,1,1,"pseudo-word demonstrative_2021-03-09_22h54.18.742","adult"
"4181",24,"female","2021-03-09_22h54.18.742",3.67661,7.131525,"media/Indexical/LinksSchmiSchmu/Standbild1.png","media/Indexical/LinksSchmiSchmu/Standbild2.png","adultonline","left","right","left","left","pseudo-word demonstrative",6,1,1,1,"pseudo-word demonstrative_2021-03-09_22h54.18.742","adult"
